,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
1911,Whit Holcomb-Faye,2006,Radford,29,38.2,23.1,4.1,9.1,45.2%,2.9,8.6,33.5%,6.3,7.8,80.9%,0.6,2.3,2.9,4.0,1.1,0.1,3.0,2.4
1912,Larry Blair,2006,Liberty,30,36.7,22.6,5.7,13.3,42.7%,2.1,6.0,35.6%,4.9,6.1,80.3%,0.8,3.8,4.7,2.7,2.0,0.4,2.6,1.9
1913,Roy Booker,2006,Southeast Mo St,27,35.7,22.0,3.9,10.0,38.7%,2.7,8.6,31.3%,6.1,7.4,82.5%,1.8,3.0,4.8,1.7,0.6,0.0,2.9,2.5
1914,Tim Smith,2006,ETSU,28,37.7,22.0,7.0,14.4,48.5%,1.5,4.5,32.8%,3.6,4.9,73.0%,1.2,3.4,4.5,4.5,3.4,0.0,4.9,1.6
1915,Morris Almond,2006,Rice,28,32.3,21.9,6.3,12.1,51.8%,1.7,3.9,44.4%,4.1,5.2,79.5%,1.8,4.1,5.8,1.1,1.4,0.7,2.9,2.4
1916,Nick Fazekas,2006,Nevada,33,31.8,21.8,7.2,12.1,59.3%,0.9,3.2,29.0%,4.7,5.5,84.6%,3.0,7.3,10.4,2.1,1.1,1.5,1.8,1.8
1917,Elton Nesbitt,2006,Ga Southern,30,32.0,21.7,3.6,7.8,46.2%,3.4,8.8,39.0%,4.2,5.2,80.3%,0.7,2.8,3.5,3.0,2.0,0.1,2.3,2.8
1918,Jose Juan Barea,2006,Northeastern,29,33.6,21.0,4.9,10.2,48.5%,2.3,7.8,29.1%,4.3,5.7,76.4%,1.1,3.4,4.4,8.4,1.3,0.0,4.7,2.8
1919,Caleb Green,2006,Oral Roberts,33,32.2,20.8,6.7,12.6,53.3%,0.1,0.3,30.0%,7.1,9.3,76.3%,3.7,5.1,8.8,1.6,1.0,0.3,2.9,2.8
1920,Kenny Adeleke,2006,Hartford,28,35.0,20.7,8.0,13.5,59.2%,0.0,0.0,0.0%,4.8,8.0,59.4%,5.4,7.7,13.1,0.6,1.0,1.7,3.7,3.0
1921,Jarrius Jackson,2006,Texas Tech,32,38.4,20.5,4.5,10.4,42.9%,2.3,5.1,44.8%,4.8,5.8,81.3%,0.7,3.4,4.1,2.9,1.7,0.1,2.1,1.3
1922,Randy Foye,2006,Villanova,33,34.7,20.5,4.2,9.0,46.3%,2.7,7.7,35.0%,4.1,5.2,79.1%,1.6,4.1,5.8,3.0,1.4,0.6,2.2,2.2
1923,Leon Powe,2006,Cal,27,35.3,20.5,6.5,13.0,50.0%,0.1,0.3,33.3%,7.2,10.0,71.9%,3.3,6.8,10.1,1.4,0.9,0.6,2.4,2.5
1924,Quinton Day,2006,UMKC,27,38.4,20.3,4.2,9.8,42.8%,2.7,7.3,37.2%,3.8,4.7,81.1%,0.6,3.0,3.6,4.8,2.8,0.0,4.0,1.7
1925,Adam Morrison,2006,Gonzaga,33,36.5,28.1,7.0,13.5,52.3%,2.2,5.2,42.8%,7.3,9.4,77.2%,1.4,4.1,5.5,1.8,1.1,0.3,2.3,2.0
1926,J.J. Redick,2006,Duke,36,37.1,26.8,4.5,8.7,52.1%,3.9,9.2,42.1%,6.1,7.1,86.3%,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5
1927,Keydren Clark,2006,St. Peter's,32,38.8,26.3,5.3,11.6,45.2%,3.3,10.1,32.6%,5.9,6.6,89.2%,1.3,2.8,4.1,4.4,2.5,0.3,3.2,1.9
1928,Gary Neal,2006,Towson,17,35.3,26.1,4.5,9.2,48.4%,3.6,9.0,40.5%,6.2,7.8,80.3%,0.7,3.2,3.9,2.9,1.8,0.2,3.5,2.8
1929,Andre Collins,2006,Loyola MD,28,38.1,26.1,4.9,10.6,46.5%,4.2,11.5,36.6%,3.6,4.0,90.2%,0.8,2.8,3.6,4.7,2.4,0.1,3.7,2.3
1930,Brion Rush,2006,Grambling,21,34.8,25.8,6.4,13.8,46.7%,2.6,8.2,31.2%,5.2,6.2,83.2%,1.4,5.6,7.0,3.4,2.3,0.0,3.5,2.4
1931,Quincy Douby,2006,Rutgers,33,36.7,25.4,5.2,10.1,51.5%,3.5,8.8,40.1%,4.5,5.3,84.7%,0.8,3.5,4.3,3.1,1.8,0.8,2.8,1.8
1932,Steve Burtt,2006,Iona,31,35.6,25.2,5.2,11.1,47.2%,3.1,7.6,40.7%,5.4,6.6,82.4%,0.6,2.7,3.3,2.5,0.7,0.1,3.2,2.3
1933,Rodney Stuckey,2006,Eastern Wash.,30,33.0,24.2,6.5,12.1,53.9%,1.8,4.9,37.2%,5.7,7.5,76.0%,1.1,3.7,4.8,4.1,2.2,0.3,3.6,2.5
1934,Alan Daniels,2006,Lamar,31,35.1,23.5,5.6,10.5,53.5%,2.4,8.0,30.4%,5.0,7.5,66.5%,1.9,4.8,6.7,3.0,2.3,0.7,2.5,2.5
1935,Trey Johnson,2006,Jackson St,32,34.8,23.5,5.9,12.8,46.1%,2.1,4.8,44.1%,5.4,7.3,75.0%,1.6,3.2,4.8,2.3,1.4,0.1,2.7,2.2
1936,Whit Holcomb-Faye,2006,Radford,29,38.2,23.1,4.1,9.1,45.2%,2.9,8.6,33.5%,6.3,7.8,80.9%,0.6,2.3,2.9,4.0,1.1,0.1,3.0,2.4
1937,Larry Blair,2006,Liberty,30,36.7,22.6,5.7,13.3,42.7%,2.1,6.0,35.6%,4.9,6.1,80.3%,0.8,3.8,4.7,2.7,2.0,0.4,2.6,1.9
1938,Roy Booker,2006,Southeast Mo St,27,35.7,22.0,3.9,10.0,38.7%,2.7,8.6,31.3%,6.1,7.4,82.5%,1.8,3.0,4.8,1.7,0.6,0.0,2.9,2.5
1939,Tim Smith,2006,ETSU,28,37.7,22.0,7.0,14.4,48.5%,1.5,4.5,32.8%,3.6,4.9,73.0%,1.2,3.4,4.5,4.5,3.4,0.0,4.9,1.6
1940,Morris Almond,2006,Rice,28,32.3,21.9,6.3,12.1,51.8%,1.7,3.9,44.4%,4.1,5.2,79.5%,1.8,4.1,5.8,1.1,1.4,0.7,2.9,2.4
1941,Nick Fazekas,2006,Nevada,33,31.8,21.8,7.2,12.1,59.3%,0.9,3.2,29.0%,4.7,5.5,84.6%,3.0,7.3,10.4,2.1,1.1,1.5,1.8,1.8
1942,Elton Nesbitt,2006,Ga Southern,30,32.0,21.7,3.6,7.8,46.2%,3.4,8.8,39.0%,4.2,5.2,80.3%,0.7,2.8,3.5,3.0,2.0,0.1,2.3,2.8
1943,Jose Juan Barea,2006,Northeastern,29,33.6,21.0,4.9,10.2,48.5%,2.3,7.8,29.1%,4.3,5.7,76.4%,1.1,3.4,4.4,8.4,1.3,0.0,4.7,2.8
1944,Caleb Green,2006,Oral Roberts,33,32.2,20.8,6.7,12.6,53.3%,0.1,0.3,30.0%,7.1,9.3,76.3%,3.7,5.1,8.8,1.6,1.0,0.3,2.9,2.8
1945,Kenny Adeleke,2006,Hartford,28,35.0,20.7,8.0,13.5,59.2%,0.0,0.0,0.0%,4.8,8.0,59.4%,5.4,7.7,13.1,0.6,1.0,1.7,3.7,3.0
